[2025-07-10 09:51:27] MOTION ALERT - Camera: 0 | Severity: medium | Message: Motion detected with score 76800 | Image: None
[2025-07-10 09:51:32] FACE ALERT - Camera: 0 | Severity: high | Message: Face detected: Samyak | Image: None
[2025-07-10 09:51:37] MOTION ALERT - Camera: 0 | Severity: medium | Message: Motion detected with score 8118 | Image: None
[2025-07-10 09:51:42] FACE ALERT - Camera: 0 | Severity: high | Message: Face detected: Samyak | Image: None
[2025-07-10 09:51:47] MOTION ALERT - Camera: 0 | Severity: medium | Message: Motion detected with score 6403 | Image: None
[2025-07-10 09:51:52] FACE ALERT - Camera: 0 | Severity: high | Message: Face detected: Samyak | Image: None
[2025-07-10 09:52:07] MOTION ALERT - Camera: 0 | Severity: medium | Message: Motion detected with score 1725 | Image: None
[2025-07-10 09:52:11] FACE ALERT - Camera: 0 | Severity: high | Message: Face detected: Samyak | Image: None
[2025-07-10 09:52:17] MOTION ALERT - Camera: 0 | Severity: medium | Message: Motion detected with score 1061 | Image: None
[2025-07-10 09:52:39] FACE ALERT - Camera: 0 | Severity: high | Message: Face detected: Samyak | Image: None
[2025-07-10 09:52:46] MOTION ALERT - Camera: 0 | Severity: medium | Message: Motion detected with score 491 | Image: None
[2025-07-10 09:52:50] FACE ALERT - Camera: 0 | Severity: high | Message: Face detected: Samyak | Image: None
[2025-07-10 09:52:54] MOTION ALERT - Camera: 0 | Severity: medium | Message: Motion detected with score 346 | Image: None
[2025-07-10 09:53:00] MOTION ALERT - Camera: 0 | Severity: medium | Message: Motion detected with score 1875 | Image: None
[2025-07-10 09:53:04] FACE ALERT - Camera: 0 | Severity: high | Message: Face detected: Samyak | Image: None
[2025-07-10 09:53:10] MOTION ALERT - Camera: 0 | Severity: medium | Message: Motion detected with score 43517 | Image: None
[2025-07-10 09:53:20] MOTION ALERT - Camera: 0 | Severity: medium | Message: Motion detected with score 2342 | Image: None
[2025-07-10 09:53:30] MOTION ALERT - Camera: 0 | Severity: medium | Message: Motion detected with score 3048 | Image: None
[2025-07-10 09:53:39] FACE ALERT - Camera: 0 | Severity: high | Message: Face detected: Samyak | Image: None
[2025-07-10 09:53:44] MOTION ALERT - Camera: 0 | Severity: medium | Message: Motion detected with score 133 | Image: None
[2025-07-10 09:53:49] FACE ALERT - Camera: 0 | Severity: high | Message: Face detected: Samyak | Image: None
[2025-07-10 09:53:54] MOTION ALERT - Camera: 0 | Severity: medium | Message: Motion detected with score 909 | Image: None
[2025-07-10 09:54:04] MOTION ALERT - Camera: 0 | Severity: medium | Message: Motion detected with score 118 | Image: None
[2025-07-10 09:54:14] MOTION ALERT - Camera: 0 | Severity: medium | Message: Motion detected with score 1295 | Image: None
[2025-07-10 09:54:24] MOTION ALERT - Camera: 0 | Severity: medium | Message: Motion detected with score 459 | Image: None
[2025-07-10 09:54:34] MOTION ALERT - Camera: 0 | Severity: medium | Message: Motion detected with score 981 | Image: None
[2025-07-10 09:54:44] MOTION ALERT - Camera: 0 | Severity: medium | Message: Motion detected with score 360 | Image: None
[2025-07-10 09:54:54] MOTION ALERT - Camera: 0 | Severity: medium | Message: Motion detected with score 119 | Image: None
[2025-07-10 09:55:04] MOTION ALERT - Camera: 0 | Severity: medium | Message: Motion detected with score 446 | Image: None
[2025-07-10 09:55:14] MOTION ALERT - Camera: 0 | Severity: medium | Message: Motion detected with score 6848 | Image: None
[2025-07-10 09:55:24] MOTION ALERT - Camera: 0 | Severity: medium | Message: Motion detected with score 735 | Image: None
[2025-07-10 09:55:34] MOTION ALERT - Camera: 0 | Severity: medium | Message: Motion detected with score 531 | Image: None
[2025-07-10 09:55:44] MOTION ALERT - Camera: 0 | Severity: medium | Message: Motion detected with score 160 | Image: None
[2025-07-10 09:55:54] MOTION ALERT - Camera: 0 | Severity: medium | Message: Motion detected with score 133 | Image: None
[2025-07-10 09:56:05] MOTION ALERT - Camera: 0 | Severity: medium | Message: Motion detected with score 131 | Image: None
[2025-07-10 09:56:19] MOTION ALERT - Camera: 0 | Severity: medium | Message: Motion detected with score 200 | Image: None
[2025-07-10 09:56:29] MOTION ALERT - Camera: 0 | Severity: medium | Message: Motion detected with score 763 | Image: None
[2025-07-10 09:56:33] FACE ALERT - Camera: 0 | Severity: high | Message: Face detected: Unknown | Image: None
[2025-07-10 09:56:39] MOTION ALERT - Camera: 0 | Severity: medium | Message: Motion detected with score 117 | Image: None
[2025-07-10 09:56:43] FACE ALERT - Camera: 0 | Severity: high | Message: Face detected: Unknown | Image: None
