epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.156,0.92162,0.97097,1.13574,0.74007,0.72265,0.78855,0.62135,0.85146,0.69436,1.02191,8.33e-06,8.33e-06,8.33e-06
2,285.157,0.98774,0.90345,1.16931,0.80435,0.72482,0.83048,0.65157,0.82152,0.6523,1.00192,1.72609e-05,1.72609e-05,1.72609e-05
3,427.73,0.94724,0.83212,1.13958,0.81704,0.73787,0.84568,0.67143,0.80619,0.62399,0.99061,2.55636e-05,2.55636e-05,2.55636e-05
4,569.335,0.92207,0.78243,1.11868,0.8755,0.74225,0.84985,0.68345,0.79077,0.58677,0.98031,3.32379e-05,3.32379e-05,3.32379e-05
5,709.461,0.87132,0.75847,1.10445,0.85739,0.77389,0.8613,0.69567,0.77898,0.56363,0.97214,4.02839e-05,4.02839e-05,4.02839e-05
6,849.15,0.86536,0.73076,1.09478,0.87223,0.78292,0.86807,0.7053,0.77422,0.54769,0.96814,4.67016e-05,4.67016e-05,4.67016e-05
7,988.292,0.87109,0.65228,1.0707,0.87166,0.7843,0.87429,0.71293,0.76385,0.52374,0.96121,5.24909e-05,5.24909e-05,5.24909e-05
8,1126.49,0.84316,0.65164,1.05661,0.91409,0.77105,0.88872,0.72275,0.74817,0.50982,0.95433,5.76519e-05,5.76519e-05,5.76519e-05
9,1266.08,0.84499,0.66365,1.07234,0.89763,0.7946,0.89648,0.73859,0.73704,0.48533,0.94797,6.21846e-05,6.21846e-05,6.21846e-05
10,1406.47,0.83397,0.6337,1.05703,0.91165,0.79446,0.90263,0.74536,0.73353,0.47137,0.94579,6.6089e-05,6.6089e-05,6.6089e-05
11,1545.92,0.80226,0.62074,1.05557,0.90283,0.83435,0.90861,0.75334,0.72431,0.45481,0.94352,6.93651e-05,6.93651e-05,6.93651e-05
12,1684.13,0.78744,0.5837,1.03559,0.91643,0.83154,0.9129,0.76077,0.71303,0.4468,0.94016,7.20129e-05,7.20129e-05,7.20129e-05
13,1823.17,0.7939,0.59207,1.02198,0.92664,0.85013,0.91728,0.76403,0.70042,0.43775,0.93463,7.1876e-05,7.1876e-05,7.1876e-05
14,1963.13,0.79539,0.58118,1.02818,0.9382,0.85407,0.92234,0.7673,0.68967,0.4253,0.92938,6.7949e-05,6.7949e-05,6.7949e-05
15,2102.29,0.75444,0.55396,1.02059,0.93332,0.855,0.92781,0.77313,0.68415,0.41486,0.92624,6.4022e-05,6.4022e-05,6.4022e-05
16,2241.21,0.76155,0.55719,1.02334,0.92105,0.86922,0.92862,0.78334,0.67261,0.40585,0.9193,6.0095e-05,6.0095e-05,6.0095e-05
17,2380.18,0.77848,0.58296,1.03517,0.93247,0.85882,0.92781,0.78577,0.6634,0.40219,0.91455,5.6168e-05,5.6168e-05,5.6168e-05
18,2517.26,0.78114,0.56382,1.02793,0.93634,0.85519,0.92948,0.78852,0.65776,0.39876,0.91282,5.2241e-05,5.2241e-05,5.2241e-05
19,2655.17,0.74083,0.53981,0.99944,0.9274,0.86261,0.93063,0.78893,0.65331,0.3946,0.91231,4.8314e-05,4.8314e-05,4.8314e-05
20,2793.48,0.70429,0.52816,0.98287,0.92824,0.86465,0.9288,0.79401,0.64714,0.39166,0.91005,4.4387e-05,4.4387e-05,4.4387e-05
21,2930.77,0.70225,0.49895,0.95607,0.92346,0.86717,0.92847,0.79129,0.64251,0.38791,0.90728,4.046e-05,4.046e-05,4.046e-05
22,3068.23,0.7064,0.48598,0.97726,0.91532,0.87382,0.93087,0.79501,0.63275,0.38436,0.90341,3.6533e-05,3.6533e-05,3.6533e-05
23,3206.01,0.65979,0.46314,0.95053,0.91815,0.87478,0.93193,0.79889,0.62527,0.38276,0.90058,3.2606e-05,3.2606e-05,3.2606e-05
24,3343.87,0.69735,0.45982,0.95012,0.91531,0.88727,0.93424,0.79967,0.62029,0.37955,0.89877,2.8679e-05,2.8679e-05,2.8679e-05
25,3482.37,0.67913,0.44224,0.94624,0.91613,0.89108,0.93727,0.803,0.61625,0.37764,0.89655,2.4752e-05,2.4752e-05,2.4752e-05
26,4265.35,0.67425,0.44792,0.94533,0.94367,0.87366,0.93574,0.80542,0.61277,0.37509,0.89521,2.0825e-05,2.0825e-05,2.0825e-05
27,4407.29,0.65903,0.41872,0.91718,0.94941,0.87546,0.93551,0.80908,0.61054,0.37529,0.89396,1.6898e-05,1.6898e-05,1.6898e-05
28,4545.81,0.67661,0.4433,0.94936,0.95036,0.87638,0.93617,0.80917,0.60816,0.37476,0.89262,1.2971e-05,1.2971e-05,1.2971e-05
29,4679.9,0.6446,0.42941,0.9396,0.94632,0.87992,0.93708,0.81064,0.60607,0.37362,0.89151,9.044e-06,9.044e-06,9.044e-06
30,4821.85,0.64475,0.42216,0.9346,0.94388,0.88223,0.93702,0.81075,0.60475,0.37155,0.89106,5.117e-06,5.117e-06,5.117e-06
